#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244625498
#Date Time: 2020-10-26 16:12:38.653
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: V(R+Mem) Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#V(R+Mem): Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#V(R): Range: 100 mV/div Offset: 0 V Attenuation: 1 X
#V(Mem): Function: C1-C2 
#Memristance: Function: (20000*M1 )/C2 
#I(Mem): Function: C1 / (20000 + M2 )
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 750 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Negative Supply: Rdy

Time (s),V(R+Mem) (V),V(R) (V),V(Mem) (V),Memristance (O),I(Mem) (A)
-0.0010239166666666667,-0.11528704822663813,0.004496265686045649,-0.11978331391268378,-532812.4371495055,2.2481328430228246e-7
-0.0010236666666666666,-0.11428086379273532,0.004496265686045649,-0.11877712947878097,-528336.7922292084,2.248132843022825e-7
-0.0010234166666666668,-0.11327467935883391,0.004496265686045649,-0.11777094504487956,-523861.1473089176,2.2481328430228246e-7
-0.0010231666666666668,-0.11193310011363092,0.004831857862825638,-0.11676495797645656,-483312.88415911095,2.4159289314128197e-7
-0.0010229166666666668,-0.11092691567972798,0.004496265686045649,-0.11542318136577363,-513417.9758282273,2.2481328430228244e-7
-0.0010226666666666667,-0.10958533643452484,0.0055030422163860745,-0.11508837865091091,-418271.83628800535,2.7515211081930374e-7
-0.0010224166666666667,-0.10824375718932172,0.0055030422163860745,-0.1137467994057078,-413396.06324302166,2.7515211081930374e-7
-0.0010221666666666667,-0.10656678313281735,0.0055030422163860745,-0.11206982534920343,-407301.3469367904,2.7515211081930374e-7
-0.0010219166666666666,-0.10556059869891518,0.0055030422163860745,-0.11106364091530126,-403644.51715305325,2.7515211081930374e-7
-0.0010216666666666668,-0.1048898090763142,0.0055030422163860745,-0.11039285129270028,-401206.63063056354,2.7515211081930374e-7
-0.0010214166666666668,-0.10287744020850922,0.0055030422163860745,-0.1083804824248953,-393892.971063087,2.751521108193037e-7
-0.0010211666666666668,-0.10187125577460687,0.005838634393166216,-0.10770989016777309,-368955.7623057929,2.919317196583108e-7
-0.0010209166666666667,-0.10052967652940376,0.006174226569946358,-0.10670390309935011,-345642.97856752336,3.087113284973179e-7
-0.0010206666666666667,-0.0995234920955014,0.006174226569946358,-0.10569771866544776,-342383.67338167207,3.087113284973179e-7
-0.0010204166666666667,-0.09751112322769627,0.0065098187467265,-0.10402094197442277,-319581.6842880005,3.25490937336325e-7
-0.0010201666666666668,-0.09650493879379483,0.0065098187467265,-0.10301475754052133,-316490.40180211747,3.2549093733632496e-7
-0.0010199166666666668,-0.09684033360509502,0.005167450039606543,-0.10200778364470156,-394808.9787529749,2.5837250198032716e-7
-0.0010196666666666668,-0.09616954398249358,0.004496265686045649,-0.10066580966853923,-447775.18366390065,2.2481328430228244e-7
-0.0010194166666666667,-0.09482796473729047,0.004496265686045649,-0.09932423042333612,-441807.6571035074,2.2481328430228244e-7
-0.0010191666666666667,-0.0941571751146889,0.004496265686045649,-0.09865344080073456,-438823.8938233107,2.2481328430228246e-7
-0.0010189166666666667,-0.09281559586948503,0.004496265686046107,-0.09731186155553113,-432856.36726288026,2.2481328430230536e-7
-0.0010186666666666666,-0.09113862181298112,0.00550304221638638,-0.0966416640293675,-351229.95691946085,2.75152110819319e-7
-0.0010184166666666668,-0.08946164775647873,0.006174226569946053,-0.09563587432642479,-309790.6215231782,3.087113284973027e-7
-0.0010181666666666668,-0.08845546332257608,0.005838634393166369,-0.09429409771574244,-323000.521581231,2.919317196583184e-7
-0.0010179166666666668,-0.08610769964347015,0.0068454109235066415,-0.09295311056697679,-271577.88365277706,3.4227054617533204e-7
-0.0010176666666666667,-0.08510151520956782,0.0065098187467265,-0.09161133395629432,-281455.8669620767,3.2549093733632496e-7
-0.0010174166666666667,-0.08409533077566547,0.006174226569946358,-0.09026955734561183,-292407.66053195257,3.087113284973179e-7
-0.0010171666666666667,-0.08342454115306285,0.006509818746726958,-0.0899343598997898,-276303.7294855818,3.254909373363479e-7
-0.0010169166666666666,-0.08107677747395814,0.00751659527706662,-0.08859337275102476,-235727.39913595282,3.7582976385333105e-7
-0.0010166666666666668,-0.08040598785135716,0.006845410923506947,-0.08725139877486411,-254919.3897922054,3.4227054617534734e-7
-0.0010164166666666668,-0.07939980341745453,0.0068454109235066415,-0.08624521434096118,-251979.6555815266,3.422705461753321e-7
-0.0010161666666666667,-0.07906440860615374,0.006174226569946358,-0.0852386351761001,-276111.13460269617,3.087113284973179e-7
-0.0010159166666666667,-0.07772282936095062,0.006174226569946358,-0.08389705593089698,-271765.3943548945,3.087113284973179e-7
-0.0010156666666666667,-0.07671664492704736,0.005838634393166827,-0.08255527932021418,-282789.6859472256,2.9193171965834136e-7
-0.0010154166666666666,-0.07470427605924299,0.007181003100286631,-0.08188527915952962,-228060.83778535397,3.5905015501433154e-7
-0.0010151666666666668,-0.07336269681404106,0.006845410923506794,-0.08020810773754786,-234341.25031739828,3.4227054617533966e-7
-0.0010149166666666668,-0.07336269681404045,0.006174226569946663,-0.07953692338398712,-257641.73854952835,3.0871132849733313e-7
-0.0010146666666666668,-0.07168572275753657,0.005838634393166216,-0.07752435715070279,-265556.4706755421,2.919317196583108e-7
-0.0010144166666666667,-0.07034414351233342,0.0068454109235066415,-0.07718955443584007,-225522.04768533842,3.422705461753321e-7
-0.0010141666666666667,-0.0690025642671303,0.007181003100286783,-0.07618356736741709,-212180.85079053816,3.5905015501433916e-7
-0.0010139166666666667,-0.06799637983322673,0.006509818746726958,-0.07450619857995369,-228904.06470200152,3.2549093733634783e-7
-0.0010136666666666666,-0.06531322134282126,0.007516595277066772,-0.07282981661988804,-193784.05763602242,3.7582976385333867e-7
-0.0010134166666666668,-0.06430703690891983,0.007181003100286936,-0.07148804000920676,-199103.21444186626,3.5905015501434674e-7
-0.0010131666666666668,-0.06430703690891937,0.006174226569946358,-0.07048126347886573,-228307.99187687755,3.087113284973179e-7
-0.0010129166666666667,-0.06296545766371625,0.0068454109235066415,-0.0698108685872229,-203963.99680696297,3.4227054617533204e-7
-0.0010126666666666667,-0.06263006285241546,0.006174226569946358,-0.06880428942236182,-222875.8165671254,3.087113284973179e-7
-0.0010124166666666667,-0.060953088795911554,0.0068454109235066415,-0.06779849971941819,-198084.52838558776,3.422705461753321e-7
-0.0010121666666666666,-0.059946904362008904,0.006174226569946358,-0.06612113093195526,-214184.33607152101,3.087113284973179e-7
-0.0010119166666666668,-0.05927611473940795,0.006174226569946358,-0.0654503413093543,-212011.4659476221,3.0871132849731794e-7
-0.0010116666666666668,-0.05826993030550576,0.006174226569946358,-0.06444415687545212,-208752.16076177135,3.0871132849731794e-7
-0.0010114166666666668,-0.057263745871602954,0.005167450039605933,-0.06243119591120889,-241632.50900426647,2.5837250198029666e-7
-0.0010111666666666667,-0.05525137700379827,0.0065098187467265,-0.06176119575052477,-189747.81988079697,3.25490937336325e-7
-0.0010109166666666667,-0.05424519256989593,0.007181003100286783,-0.06142619567018271,-171079.707980434,3.590501550143392e-7
-0.0010106666666666667,-0.0525682185133911,0.007181003100286936,-0.05974922161367804,-166409.1235701895,3.590501550143468e-7
-0.0010104166666666666,-0.05055584964558703,0.007516595277067078,-0.05807244492265411,-154517.95069991745,3.758297638533539e-7
-0.0010101666666666668,-0.04988506002298607,0.007852187453846915,-0.05773724747683299,-147060.28814568513,3.9260937269234574e-7
-0.0010099166666666668,-0.04887887558908342,0.007852187453847068,-0.05673106304293049,-144497.47507017528,3.926093726923534e-7
-0.0010096666666666667,-0.046531111909977954,0.00852337180740735,-0.055054483717385305,-129184.75214125816,4.261685903703675e-7
-0.0010094166666666667,-0.046195717098677175,0.008187779630627208,-0.054383496729304384,-132840.6458959337,4.0938898153136034e-7
-0.0010091666666666667,-0.044518743042173264,0.007516595277066925,-0.05203533831924019,-138454.54331697122,3.7582976385334624e-7
-0.0010089166666666666,-0.04351255860827031,0.008187779630627208,-0.05170033823889752,-126286.58945706658,4.0938898153136034e-7
-0.0010086666666666668,-0.042170979363068406,0.008187779630627208,-0.050358758993695615,-123009.56123763675,4.0938898153136034e-7
-0.0010084166666666668,-0.04116479492916591,0.00785218745384722,-0.04901698238301313,-124849.24149129174,3.9260937269236104e-7
-0.0010081666666666668,-0.040158610495263106,0.007516595277066925,-0.04767520577233003,-126853.19354039646,3.7582976385334624e-7
