#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244625498
#Date Time: 2020-10-26 16:13:21.375
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: V(R+Mem) Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#V(R+Mem): Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#V(R): Range: 100 mV/div Offset: 0 V Attenuation: 1 X
#V(Mem): Function: C1-C2 
#Memristance: Function: (20000*M1 )/C2 
#I(Mem): Function: C1 / (20000 + M2 )
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 750 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Negative Supply: Rdy

Time (s),V(R+Mem) (V),V(R) (V),V(Mem) (V),Memristance (O),I(Mem) (A)
-0.0010238333333333332,-0.11293928454753266,0.004496265686045649,-0.11743555023357831,-522369.26566881716,2.2481328430228246e-7
-0.0010235833333333332,-0.11226849492492988,0.004160673509266118,-0.116429168434196,-559665.0069990074,2.0803367546330588e-7
-0.0010233333333333333,-0.10958533643452606,0.005503042216385464,-0.11508837865091152,-418271.8362880696,2.751521108192732e-7
-0.0010230833333333333,-0.10958533643452484,0.004496265686046107,-0.11408160212057095,-507450.4492677932,2.2481328430230538e-7
-0.0010228333333333333,-0.10824375718932172,0.004831857862825791,-0.11307561505214751,-468041.97582922305,2.4159289314128954e-7
-0.0010225833333333332,-0.10723757275541937,0.004831857862825791,-0.11206943061824516,-463877.1826483495,2.4159289314128954e-7
-0.0010223333333333332,-0.10556059869891549,0.005167450039605933,-0.11072804873852142,-428559.7263247677,2.583725019802966e-7
-0.0010220833333333332,-0.10455441426501298,0.004496265686045344,-0.10905067995105833,-485072.2246663952,2.2481328430226722e-7
-0.0010218333333333331,-0.10421901945371204,0.003825081332485519,-0.10804410078619756,-564924.4624871357,1.9125406662427594e-7
-0.0010215833333333333,-0.10354822983111109,0.004160673509265355,-0.10770890334037644,-517747.4420933107,2.0803367546326776e-7
-0.0010213333333333333,-0.10254204539720843,0.0034894891557052245,-0.10603153455291366,-607719.5246734315,1.7447445778526124e-7
-0.0010210833333333333,-0.10120046615200531,0.004496265686045649,-0.10569673183805096,-470153.4082653756,2.2481328430228246e-7
-0.0010208333333333332,-0.09918809728420064,0.005167450039605933,-0.10435554732380657,-403895.71848386823,2.583725019802966e-7
-0.0010205833333333332,-0.0978465180389975,0.005167450039605933,-0.10301396807860343,-398703.2957805208,2.5837250198029666e-7
-0.0010203333333333332,-0.09650493879379392,0.004831857862825791,-0.10133679665661971,-419452.72205236356,2.415928931412896e-7
-0.0010200833333333333,-0.09549875435989248,0.004831857862825791,-0.10033061222271827,-415287.9288714939,2.4159289314128954e-7
-0.0010198333333333333,-0.09449256992599016,0.00516745003960578,-0.09966001996559594,-385722.23902216624,2.5837250198028904e-7
-0.0010195833333333333,-0.09315099068078656,0.004496265686045649,-0.0976472563668322,-434348.2489030157,2.2481328430228244e-7
-0.0010193333333333332,-0.09180941143558344,0.004831857862825791,-0.09664126929840923,-400017.0205416225,2.4159289314128954e-7
-0.0010190833333333332,-0.09080322700168109,0.0055030422163860745,-0.09630626921806716,-350011.01365823374,2.7515211081930374e-7
-0.0010188333333333332,-0.08912625294517672,0.005838634393165911,-0.09496488733834263,-325298.28361748095,2.9193171965829557e-7
-0.0010185833333333331,-0.08812006851127394,0.005167450039606238,-0.09328751855088017,-361058.2311812324,2.583725019803119e-7
-0.0010183333333333333,-0.08610769964347106,0.005838634393165911,-0.09194633403663698,-314958.3544544606,2.9193171965829557e-7
-0.0010180833333333333,-0.08644309445477079,0.005167450039606238,-0.09161054449437703,-354567.7028020512,2.583725019803119e-7
-0.0010178333333333333,-0.08577230483216938,0.004496265686045649,-0.09026857051821503,-401526.8528208524,2.248132843022825e-7
-0.0010175833333333332,-0.08375993596436468,0.0055030422163860745,-0.08926297818075075,-324413.2051720694,2.751521108193037e-7
-0.0010173333333333332,-0.08308914634176312,0.005167450039605933,-0.08825659638136905,-341586.64604370116,2.583725019802966e-7
-0.0010170833333333332,-0.08174756709655939,0.0041606735092659655,-0.08590824060582536,-412953.52982879605,2.0803367546329828e-7
-0.0010168333333333331,-0.08040598785135625,0.005167450039606085,-0.08557343789096233,-331201.80063699576,2.5837250198030423e-7
-0.0010165833333333333,-0.07906440860615435,0.005503042216385922,-0.08456745082254027,-307347.99951463734,2.7515211081929606e-7
-0.0010163333333333333,-0.07805822417225139,0.0055030422163860745,-0.08356126638863746,-303691.1697308887,2.7515211081930374e-7
-0.0010160833333333332,-0.07705203973834907,0.005838634393166216,-0.08289067413151528,-283938.56696536444,2.919317196583108e-7
-0.0010158333333333332,-0.07503967087054436,0.0065098187467265,-0.08154948961727086,-250543.04210321832,3.2549093733632496e-7
-0.0010155833333333332,-0.07436888124794204,0.00550304221638638,-0.07987192346432842,-290282.79385716777,2.75152110819319e-7
-0.0010153333333333331,-0.07269190719143828,0.006174226569946053,-0.07886613376138434,-255468.86842564898,3.0871132849730264e-7
-0.0010150833333333333,-0.07135032794623639,0.00550304221638638,-0.07685337016262277,-279312.3045059595,2.7515211081931893e-7
-0.0010148333333333333,-0.07000874870103327,0.005838634393166064,-0.07584738309419933,-259812.06558498146,2.919317196583032e-7
-0.0010145833333333333,-0.06866716945582951,0.0055030422163860745,-0.07417021167221559,-269560.7584160029,2.751521108193037e-7
-0.0010143333333333332,-0.0673255902106264,0.005838634393166216,-0.07316422460379261,-250621.01744006135,2.919317196583108e-7
-0.0010140833333333332,-0.06598401096542328,0.005838634393166216,-0.0718226453585895,-246025.49336760578,2.919317196583108e-7
-0.0010138333333333332,-0.06531322134282141,0.005503042216385922,-0.07081626355920734,-257371.32580354958,2.751521108192961e-7
-0.0010135833333333331,-0.06464243172021937,0.005167450039606238,-0.06980988175982561,-270190.83387266065,2.5837250198031186e-7
-0.0010133333333333333,-0.06296545766371701,0.005838634393165911,-0.06880409205688293,-235685.56420459642,2.919317196582955e-7
-0.0010130833333333333,-0.06162387841851311,0.005167450039605933,-0.06679132845811904,-258507.88279014503,2.5837250198029666e-7
-0.0010128333333333333,-0.061288483607212334,0.005167450039605933,-0.06645593364681826,-257209.7771143082,2.583725019802967e-7
-0.0010125833333333332,-0.05961150955070843,0.006174226569946358,-0.06578573612065479,-213097.9010095716,3.087113284973179e-7
-0.0010123333333333332,-0.058605325116806085,0.005838634393166216,-0.0644439595099723,-220750.11096909997,2.9193171965831087e-7
-0.0010120833333333332,-0.05793453549420376,0.0055030422163865325,-0.06343757771059029,-230554.5740561163,2.7515211081932656e-7
-0.0010118333333333333,-0.05625756143770138,0.006509818746726042,-0.06276738018442742,-192839.10236669995,3.2549093733630215e-7
-0.0010115833333333333,-0.054915982192498096,0.006845410923506489,-0.061761393116004586,-180446.12312146797,3.4227054617532447e-7
-0.0010113333333333333,-0.05357440294729436,0.0055030422163860745,-0.059077445163680437,-214708.31165993644,2.7515211081930374e-7
