#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244625498
#Date Time: 2020-10-26 16:20:27.083
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: V(R+Mem) Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#V(R+Mem): Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#V(R): Range: 100 mV/div Offset: 0 V Attenuation: 1 X
#V(Mem): Function: C1-C2 
#Memristance: Function: (20000*M1 )/C2 
#I(Mem): Function: C1 / (20000 + M2 )
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 750 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Negative Supply: Rdy

Time (s),V(R+Mem) (V),V(R) (V),V(Mem) (V),Memristance (O),I(Mem) (A)
-0.00202375,-0.11293928454753266,0.004831857862825791,-0.11777114241035845,-487477.67733996606,2.4159289314128954e-7
-0.0020235,-0.11159770530233015,0.005503042216385769,-0.11710074751871592,-425585.49585550907,2.7515211081928844e-7
-0.00202325,-0.11059152086842704,0.005167450039605475,-0.11575897090803251,-448031.3114623662,2.5837250198027374e-7
-0.002023,-0.11025612605712658,0.0041606735092659655,-0.11441679956639254,-549991.7227899986,2.0803367546329828e-7
-0.0020227500000000002,-0.10958533643452545,0.00483185786282518,-0.11441719429735063,-473595.0334037905,2.4159289314125904e-7
-0.0020225,-0.10790836237802096,0.0055030422163860745,-0.11341140459440703,-412177.1199817758,2.7515211081930374e-7
-0.0020222499999999997,-0.10623138832151552,0.006174226569946358,-0.11240561489146188,-364112.3746206757,3.0871132849731783e-7
-0.002022,-0.10455441426501252,0.006174226569946358,-0.11072864083495888,-358680.1993109265,3.087113284973179e-7
-0.00202175,-0.10321283501981063,0.006174226569946358,-0.10938706158975699,-354334.45906312874,3.0871132849731794e-7
-0.0020215,-0.10254204539720797,0.005503042216386227,-0.1080450876135942,-392674.0278018297,2.7515211081931136e-7
-0.00202125,-0.10153586096330611,0.005838634393166216,-0.10737449535647232,-367806.8812876791,2.9193171965831076e-7
-0.0020210000000000002,-0.09985888690680372,0.006174226569946053,-0.10603311347674978,-343470.10844364465,3.0871132849730264e-7
-0.00202075,-0.09818191285029829,0.0065098187467265,-0.10469173159702479,-321642.5392785925,3.254909373363249e-7
-0.0020204999999999997,-0.09784651803899566,0.0051674500396074585,-0.10301396807860312,-398703.2957804311,2.5837250198037295e-7
-0.00202025,-0.09583414917119236,0.006845410923506489,-0.10267956009469885,-299995.3143560955,3.422705461753244e-7
-0.00202,-0.09482796473729092,0.006509818746726652,-0.10133778348401758,-311338.26432563446,3.2549093733633264e-7
-0.00201975,-0.0938217803033875,0.006174226569946663,-0.09999600687333417,-323914.27732849953,3.0871132849733313e-7
-0.0020195,-0.092480201058185,0.0068454109235066415,-0.09932561198169164,-290196.200320465,3.422705461753321e-7
-0.00201925,-0.0911386218129831,0.007181003100286478,-0.09831962491326958,-273832.56500570924,3.590501550143239e-7
-0.002019,-0.09080322700168109,0.005838634393166216,-0.0966418613948473,-331042.6887080342,2.919317196583108e-7
-0.0020187499999999997,-0.09013243737907861,0.005167450039606849,-0.09529988741868546,-368846.8652362195,2.583725019803424e-7
-0.0020185,-0.08912625294517641,0.006174226569946205,-0.09530047951512262,-308704.18646121386,3.0871132849731026e-7
-0.00201825,-0.08744927888867406,0.005838634393166369,-0.09328791328184043,-319553.87852689036,2.9193171965831844e-7
-0.002018,-0.08577230483216892,0.006174226569946816,-0.09194653140211574,-297839.8358416857,3.087113284973408e-7
-0.00201775,-0.08476612039826703,0.007181003100286783,-0.09194712349855381,-256084.34424678574,3.5905015501433916e-7
-0.0020175,-0.08443072558696654,0.00650981874672711,-0.09094054433369365,-279395.0119714649,3.2549093733635546e-7
-0.00201725,-0.08342454115306391,0.005838634393166216,-0.08926317554623013,-305767.30630952853,2.919317196583108e-7
-0.0020169999999999997,-0.08107677747395753,0.006509818746726042,-0.08758659622068357,-269090.7370185488,3.2549093733630215e-7
-0.00201675,-0.0804059878513564,0.006174226569946358,-0.08658021442130276,-280456.8748504964,3.087113284973179e-7
-0.0020165,-0.07939980341745499,0.006174226569946358,-0.08557402998740135,-277197.5696646481,3.087113284973179e-7
-0.00201625,-0.07705203973834784,0.006845410923506947,-0.08389745066185479,-245120.27575657595,3.4227054617534734e-7
-0.002016,-0.07571046049314592,0.007181003100286783,-0.0828914635934327,-230863.18843149455,3.590501550143391e-7
-0.00201575,-0.07571046049314592,0.007181003100286783,-0.0828914635934327,-230863.18843149455,3.590501550143391e-7
-0.0020155,-0.07436888124794189,0.006845410923506947,-0.08121429217144883,-237280.98452807748,3.422705461753473e-7
-0.0020152499999999997,-0.07235651238013813,0.007516595277066925,-0.07987310765720505,-212524.6995827946,3.758297638533463e-7
-0.0020150000000000003,-0.07235651238013813,0.007516595277066925,-0.07987310765720505,-212524.6995827946,3.758297638533463e-7
-0.00201475,-0.07135032794623623,0.0058386343931669795,-0.07718896233940321,-264407.5896574046,2.91931719658349e-7
-0.0020145,-0.06933795907842957,0.006845410923507252,-0.07618337000193683,-222582.31347463038,3.4227054617536264e-7
-0.00201425,-0.06766098502192719,0.007516595277066925,-0.07517758029899411,-200030.9382849449,3.7582976385334624e-7
-0.002014,-0.06665480058802575,0.006845410923507252,-0.073500211511533,-214743.0222461373,3.422705461753626e-7
-0.00201375,-0.06531322134282111,0.006845410923506947,-0.07215863226632806,-210823.37663189127,3.422705461753473e-7
-0.0020134999999999997,-0.06397164209761629,0.007516595277067383,-0.07148823737468367,-190214.4115509043,3.758297638533691e-7
-0.0020132500000000003,-0.06229466804111697,0.00785218745384661,-0.07014685549496358,-178668.31607694356,3.926093726923305e-7
-0.002013,-0.0619592732298139,0.0065098187467265,-0.0684690919765404,-210356.36978670253,3.2549093733632496e-7
-0.0020127499999999998,-0.05961150955070843,0.007516595277066314,-0.06712810482777475,-178613.0617743595,3.758297638533157e-7
-0.0020125,-0.05961150955070843,0.0068454109235066415,-0.06645692047421507,-194164.8827713377,3.4227054617533204e-7
-0.00201225,-0.05793453549420528,0.006509818746726652,-0.06444435424093194,-197991.23984315744,3.2549093733633264e-7
-0.002012,-0.05726374587160219,0.005838634393166674,-0.06310238026476886,-216154.58689662904,2.919317196583337e-7
-0.00201175,-0.055586771815099814,0.0068454109235061835,-0.062432182738606,-182405.9459286027,3.422705461753092e-7
-0.0020115000000000003,-0.05525137700379858,0.0068454109235066415,-0.06209678792730522,-181426.03452502575,3.422705461753321e-7
-0.00201125,-0.054915982192497485,0.006174226569946358,-0.061090208762443844,-197887.81014226563,3.087113284973179e-7
-0.0020109999999999998,-0.05223282370209124,0.007852187453847068,-0.060085011155938305,-153040.18532186342,3.9260937269235337e-7
-0.00201075,-0.05223282370209124,0.007852187453847068,-0.060085011155938305,-153040.18532186342,3.9260937269235337e-7
-0.0020105,-0.05122663926818935,0.0068454109235070995,-0.05807205019169645,-169667.097682267,3.4227054617535496e-7
-0.00201025,-0.048878875589082965,0.008187779630627055,-0.05706665521971002,-139394.70233480047,4.0938898153135277e-7
-0.00201,-0.047872691155181536,0.00785218745384722,-0.055724878609028757,-141934.66199466767,3.9260937269236104e-7
-0.0020097500000000003,-0.04720190153258013,0.00751659527706723,-0.05471849680964736,-145593.83548716776,3.758297638533615e-7
-0.0020095,-0.04552492747607561,0.007852187453847068,-0.05337711492992268,-135954.76481848714,3.926093726923534e-7
-0.0020092499999999998,-0.04485413785347282,0.007181003100287394,-0.05203514095376022,-144924.43528308222,3.5905015501436966e-7
-0.002009,-0.04351255860827092,0.007852187453847068,-0.05136474606211799,-130829.13866747428,3.9260937269235337e-7
-0.00200875,-0.04183558455176778,0.007852187453847068,-0.04968777200561485,-126557.78354163215,3.9260937269235337e-7
-0.0020085,-0.04049400530656328,0.008523371807407502,-0.049017377113970785,-115018.74662177885,4.261685903703751e-7
