#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244625498
#Date Time: 2020-10-26 16:19:00.801
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: V(R+Mem) Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#V(R+Mem): Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#V(R): Range: 100 mV/div Offset: 0 V Attenuation: 1 X
#V(Mem): Function: C1-C2 
#Memristance: Function: (20000*M1 )/C2 
#I(Mem): Function: C1 / (20000 + M2 )
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 750 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Negative Supply: Rdy

Time (s),V(R+Mem) (V),V(R) (V),V(Mem) (V),Memristance (O),I(Mem) (A)
-0.00202378125,-0.11361007417013422,0.004831857862825791,-0.11844193203296001,-490254.2061272151,2.4159289314128954e-7
-0.00202353125,-0.11260388973623235,0.005838634393165758,-0.11844252412939811,-405719.95488547615,2.9193171965828794e-7
-0.00202328125,-0.11126231049102783,0.006174226569946663,-0.1174365370609745,-380408.9005499182,3.0871132849733313e-7
-0.00202303125,-0.10924994162322499,0.006845410923506336,-0.11609535254673133,-339191.77049861,3.4227054617531684e-7
-0.0020227812500000003,-0.10757296756672169,0.007181003100286478,-0.11475397066700817,-319604.2922260554,3.590501550143239e-7
-0.00202253125,-0.10623138832151705,0.0065098187467265,-0.11274120706824355,-346372.79916567914,3.2549093733632496e-7
-0.0020222812499999998,-0.10488980907631237,0.006509818746726805,-0.11139962782303918,-342251.08918447915,3.2549093733634026e-7
-0.00202203125,-0.10321283501981032,0.006845410923506031,-0.11005824594331635,-321553.36523450044,3.422705461753015e-7
-0.00202178125,-0.10388362464241127,0.005503042216386685,-0.10938666685879796,-397549.8008467902,2.751521108193343e-7
-0.00202153125,-0.1022066505859069,0.005503042216386227,-0.10770969280229313,-391455.0845405828,2.7515211081931136e-7
-0.00202128125,-0.10052967652940376,0.005838634393166216,-0.10636831092256997,-364360.23823333735,2.9193171965831076e-7
-0.0020210312500000003,-0.10019428171810327,0.00550304221638638,-0.10569732393448965,-384141.42497310153,2.75152110819319e-7
