#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244625498
#Date Time: 2020-10-26 16:19:50.679
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: V(R+Mem) Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#V(R+Mem): Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#V(R): Range: 100 mV/div Offset: 0 V Attenuation: 1 X
#V(Mem): Function: C1-C2 
#Memristance: Function: (20000*M1 )/C2 
#I(Mem): Function: C1 / (20000 + M2 )
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 750 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Negative Supply: Rdy

Time (s),V(R+Mem) (V),V(R) (V),V(Mem) (V),Memristance (O),I(Mem) (A)
-0.002023875,-0.11495165341533736,0.003825081332485366,-0.11877673474782273,-621041.6167577119,1.912540666242683e-7
-0.0020236250000000002,-0.11327467935883422,0.004496265686045344,-0.11777094504487956,-523861.14730895974,2.2481328430226722e-7
-0.002023375,-0.11260388973623113,0.004496265686045802,-0.11710015542227693,-520877.38402869995,2.2481328430229009e-7
-0.002023125,-0.11092691567972875,0.004831857862825638,-0.11575877354255439,-479148.09097823815,2.415928931412819e-7
-0.0020228750000000004,-0.10958533643452606,0.0051674500396056275,-0.11475278647413169,-444136.99443484115,2.583725019802814e-7
-0.002022625,-0.10891454681192328,0.004496265686045649,-0.11341081249796893,-504466.6859876372,2.2481328430228246e-7
-0.002022375,-0.10757296756671864,0.005838634393165911,-0.11341160195988455,-388486.73961374414,2.919317196582955e-7
-0.002022125,-0.10589599351021595,0.0055030422163856165,-0.11139903572660156,-404863.46041433804,2.7515211081928087e-7
-0.0020218750000000002,-0.105225203887615,0.004496265686046107,-0.1097214695736611,-488055.98794651777,2.2481328430230536e-7
-0.002021625,-0.10321283501981002,0.005503042216385464,-0.10871587723619548,-395111.9143243879,2.751521108192732e-7
-0.002021375,-0.10321283501981002,0.0041606735092655075,-0.10737350852907553,-516135.2280584515,2.080336754632754e-7
-0.0020211250000000004,-0.10120046615200715,0.00483185786282518,-0.10603232401483233,-438888.42356317875,2.4159289314125904e-7
-0.002020875,-0.0998588869068022,0.004496265686045649,-0.10435515259284785,-464185.8817049823,2.2481328430228246e-7
-0.002020625,-0.09784651803899688,0.0055030422163860745,-0.10334956025538296,-375608.82214439585,2.7515211081930374e-7
-0.002020375,-0.09717572841639578,0.0055030422163856165,-0.1026787706327814,-373170.9356219416,2.751521108192808e-7
-0.0020201250000000002,-0.09684033360509532,0.004496265686046107,-0.10133659929114143,-450758.9469440621,2.2481328430230536e-7
-0.002019875,-0.09650493879379361,0.004831857862825791,-0.1013367966566194,-419452.72205236234,2.415928931412896e-7
-0.002019625,-0.09482796473729047,0.004831857862825791,-0.09965982260011626,-412511.400084243,2.4159289314128954e-7
-0.0020193750000000003,-0.09382178030338903,0.0038250813324862817,-0.09764686163587531,-510560.96928746806,1.912540666243141e-7
-0.002019125,-0.09214480624688423,0.004831857862825791,-0.09697666410971002,-401405.28493524704,2.4159289314128954e-7
-0.002018875,-0.09113862181297974,0.005167450039606238,-0.09630607185258598,-372741.18226375734,2.583725019803119e-7
-0.002018625,-0.0887908581338761,0.005503042216385922,-0.09429390035026203,-342697.3540907666,2.751521108192961e-7
-0.002018375,-0.08812006851127516,0.005167450039606085,-0.09328751855088124,-361058.231181245,2.583725019803043e-7
-0.002018125,-0.0867784892660711,0.00550304221638638,-0.09228153148245748,-335383.6945232651,2.7515211081931893e-7
-0.002017875,-0.08543691002086859,0.006174226569946358,-0.09161113659081495,-296753.4007797543,3.087113284973179e-7
-0.0020176250000000003,-0.0840953307756667,0.005503042216386685,-0.08959837299205338,-325632.1484332891,2.751521108193343e-7
-0.002017375,-0.08308914634176312,0.006174226569946358,-0.08926337291170948,-289148.3553461013,3.087113284973179e-7
-0.002017125,-0.0814121722852583,0.005838634393166216,-0.08725080667842451,-298874.02020084194,2.919317196583108e-7
-0.002016875,-0.08074138266265674,0.005838634393166522,-0.08658001705582326,-296576.2581646015,2.9193171965832606e-7
-0.002016625,-0.07872901379485389,0.0065098187467261944,-0.08523883254158009,-261877.74455148217,3.2549093733630977e-7
-0.002016375,-0.07772282936095032,0.0065098187467252785,-0.0842326481076756,-258786.46206563577,3.25490937336264e-7
-0.002016125,-0.07738743454964983,0.005167450039605933,-0.08255488458925576,-319518.8495544753,2.583725019802966e-7
-0.0020158750000000003,-0.07638125011574842,0.005503042216385769,-0.08188429233213419,-297596.4534246791,2.751521108192885e-7
-0.002015625,-0.07470427605924314,0.005838634393166369,-0.08054291045240951,-275896.39983855933,2.9193171965831844e-7
-0.002015375,-0.07369809162534079,0.006174226569944527,-0.07987231819528531,-258728.173611578,3.087113284972263e-7
-0.0020151250000000004,-0.07336269681404091,0.004831857862827622,-0.07819455467686853,-323662.47889218625,2.415928931413811e-7
-0.002014875,-0.07135032794623669,0.0065098187467257365,-0.07786014669296243,-239208.3396550087,3.254909373362868e-7
-0.002014625,-0.06967335388973095,0.0065098187467261944,-0.07618317263645714,-234056.20217850152,3.254909373363097e-7
-0.002014375,-0.06866716945582951,0.006174226569946358,-0.07484139602577587,-242431.64768223302,3.087113284973179e-7
-0.0020141250000000003,-0.0676609850219281,0.005503042216386685,-0.07316402723831479,-265903.9286322439,2.751521108193342e-7
-0.002013875,-0.06631940577672404,0.006509818746726347,-0.07282922452345039,-223751.92722554613,3.2549093733631734e-7
-0.002013625,-0.06631940577672084,0.006174226569947732,-0.07249363234666857,-234826.60224853005,3.0871132849738655e-7
-0.0020133750000000004,-0.06397164209762178,0.00718100310028541,-0.07115264519790719,-198169.0975598708,3.590501550142705e-7
-0.002013125,-0.06296545766371625,0.007516595277066925,-0.07048205294078318,-187537.17698709515,3.758297638533463e-7
-0.002012875,-0.06195927322981237,0.006845410923505726,-0.0688046841533181,-201024.26259629853,3.4227054617528624e-7
-0.002012625,-0.06028229917330999,0.005838634393166216,-0.0661209335664762,-226494.5160596695,2.919317196583108e-7
-0.0020123750000000003,-0.05860532511680685,0.007516595277066162,-0.066121920393873,-175935.8272105434,3.7582976385330807e-7
-0.002012125,-0.057934535494204215,0.0068454109235061835,-0.0647799464177104,-189265.32575353727,3.422705461753092e-7
-0.002011875,-0.05726374587160326,0.005838634393166674,-0.06310238026476993,-216154.58689663216,2.919317196583337e-7
-0.0020116250000000004,-0.05625756143770153,0.006509818746725889,-0.06276738018442742,-192839.10236670403,3.2549093733629447e-7
-0.002011375,-0.05424519256989593,0.007181003100286783,-0.06142619567018271,-171079.707980434,3.590501550143392e-7
-0.002011125,-0.053909797758593316,0.006174226569946663,-0.06008402432853998,-194628.50495640057,3.0871132849733313e-7
-0.002010875,-0.05189742889079046,0.0065098187467265,-0.05840724763751696,-179443.5449278442,3.25490937336325e-7
-0.0020106250000000003,-0.050555849645587944,0.007516595277066467,-0.05807244492265441,-154517.95069993217,3.758297638533234e-7
-0.002010375,-0.049214270400383744,0.007181003100286325,-0.05639527350067007,-157067.95474972535,3.590501550143163e-7
-0.002010125,-0.048208085966482316,0.006174226569946816,-0.05438231253642913,-176159.10890324847,3.0871132849734076e-7
-0.0020098750000000004,-0.04653111190997948,0.007516595277065705,-0.054047707187045185,-143809.01244465052,3.758297638532852e-7
-0.002009625,-0.04552492747607561,0.007516595277066925,-0.053041522753142535,-141131.77788079614,3.758297638533463e-7
-0.002009375,-0.04418334823087157,0.007181003100287089,-0.05136435133115866,-143056.20151899193,3.5905015501435446e-7
-0.002009125,-0.04317716379697014,0.007516595277066925,-0.050693759074037066,-134884.8972318713,3.7582976385334624e-7
-0.0020088750000000002,-0.04250637417436888,0.007516595277066925,-0.050022969451435806,-133100.07418932213,3.758297638533463e-7
-0.002008625,-0.04082940011786421,0.007181003100286783,-0.048010403218151,-133715.03269851988,3.5905015501433916e-7
-0.002008375,-0.039823215683962784,0.007181003100286783,-0.04700421878424957,-130912.68205237898,3.5905015501433916e-7
