#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244625498
#Date Time: 2020-10-26 16:06:00.381
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: V(R+Mem) Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#V(R+Mem): Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#V(R): Range: 100 mV/div Offset: 0 V Attenuation: 1 X
#V(Mem): Function: C1-C2 
#Memristance: Function: (20000*M1 )/C2 
#I(Mem): Function: C1 / (20000 + M2 )
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 750 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Negative Supply: Rdy

Time (s),V(R+Mem) (V),V(R) (V),V(Mem) (V),Memristance (O),I(Mem) (A)
-0.0010239374999999999,-0.11528704822663813,0.006174226569946358,-0.12146127479658449,-393446.121293342,3.0871132849731794e-7
-0.0010236874999999999,-0.11428086379273517,0.006509818746726652,-0.12079068253946182,-371103.0590527561,3.254909373363326e-7
-0.0010234375,-0.11293928454753327,0.006845410923506489,-0.11978469547103976,-349970.79593778856,3.4227054617532447e-7
-0.0010231875,-0.1122684949249314,0.006174226569946663,-0.11844272149487807,-383668.2057357729,3.0871132849733313e-7
-0.0010229375,-0.11126231049102875,0.005838634393166216,-0.11710094488419497,-401124.4308129821,2.9193171965831076e-7
-0.0010226875,-0.10992073124582563,0.0065098187467265,-0.11643054999255213,-357707.5016139272,3.2549093733632496e-7
-0.0010224375,-0.10958533643452484,0.006174226569946358,-0.1157595630044712,-374976.72524018475,3.0871132849731794e-7
-0.0010221874999999999,-0.10824375718932111,0.0068454109235066415,-0.11508916811282775,-336252.03628790186,3.4227054617533204e-7
-0.0010219374999999998,-0.106902177944118,0.006845410923506947,-0.11374758886762494,-332332.39067363925,3.4227054617534734e-7
-0.0010216875,-0.1055605986989161,0.00751659527706662,-0.11307719397598272,-300873.440189032,3.75829763853331e-7
-0.0010214375,-0.10388362464241158,0.007181003100286783,-0.11106462774269836,-309329.0065235116,3.590501550143391e-7
-0.0010211875,-0.10254204539720843,0.007181003100286783,-0.10972304849749522,-305592.5389953202,3.5905015501433916e-7
-0.0010209375,-0.10153586096330611,0.007181003100286783,-0.10871686406359289,-302790.18834917684,3.5905015501433916e-7
-0.0010206875,-0.10052967652940376,0.0065098187467265,-0.10703949527613026,-328855.5317456594,3.2549093733632496e-7
-0.0010204374999999999,-0.09918809728420003,0.006845410923506489,-0.10603350820770652,-309794.4283917205,3.422705461753244e-7
-0.0010201875,-0.0978465180389981,0.006509818746726652,-0.10435633678572476,-320612.11178329226,3.254909373363326e-7
-0.0010199375,-0.09751112322769688,0.005838634393166522,-0.1033497576208634,-354020.30907029705,2.9193171965832606e-7
-0.0010196875,-0.09549875435989202,0.005838634393166216,-0.10133738875305824,-347127.0229616288,2.919317196583108e-7
-0.0010194375,-0.0941571751146889,0.006174226569946358,-0.10033140168463527,-325000.71239046525,3.0871132849731794e-7
-0.0010191875,-0.0941571751146889,0.005167450039605933,-0.09932462515429484,-384424.13334631594,2.5837250198029666e-7
-0.0010189374999999999,-0.09248020105818454,0.005838634393166216,-0.09831883545135076,-336787.0937986021,2.9193171965831087e-7
-0.0010186874999999998,-0.09147401662428203,0.005838634393166369,-0.0973126510174484,-333340.4507442523,2.9193171965831844e-7
-0.0010184375,-0.09013243737908014,0.006174226569946205,-0.09630666394902634,-311963.49164706987,3.087113284973103e-7
-0.0010181875,-0.08845546332257638,0.006509818746726347,-0.09496528206930273,-291760.1419150386,3.254909373363174e-7
-0.0010179375,-0.0871138840773725,0.0068454109235066415,-0.09395929500087914,-274517.61786346463,3.422705461753321e-7
-0.0010176875,-0.08543691002086859,0.007852187453847068,-0.09328909747471566,-237613.0168135759,3.926093726923534e-7
-0.0010174375,-0.08443072558696624,0.007181003100286783,-0.09161172868725302,-255150.2273647379,3.5905015501433916e-7
-0.0010171874999999999,-0.08375993596436376,0.0068454109235066415,-0.0906053468878704,-264718.5038278367,3.422705461753321e-7
-0.0010169374999999998,-0.08174756709655985,0.006845410923506794,-0.08859297802006665,-258839.03540645877,3.422705461753397e-7
-0.0010166875,-0.08141217228525936,0.007181003100286631,-0.088593175385546,-246743.175426313,3.5905015501433154e-7
-0.0010164375,-0.07939980341745453,0.007181003100286783,-0.08658080651774132,-241138.4741340206,3.590501550143392e-7
-0.0010161875,-0.07906440860615374,0.0065098187467265,-0.08557422735288024,-262908.17204676167,3.2549093733632496e-7
-0.0010159375,-0.07738743454964983,0.0068454109235066415,-0.08423284547315647,-246100.18716015143,3.4227054617533204e-7
-0.0010156874999999999,-0.07638125011574705,0.0068454109235066415,-0.08322666103925369,-243160.45294946255,3.422705461753321e-7
-0.0010154374999999998,-0.07537506568184485,0.006845410923506336,-0.08222047660535119,-240220.71873878618,3.422705461753169e-7
-0.0010151875,-0.0747042760592439,0.006174226569946663,-0.08087850262919057,-261987.47879733078,3.087113284973332e-7
-0.0010149375,-0.07302730200274045,0.005838634393166369,-0.07886593639590682,-270151.99474799394,2.919317196583184e-7
-0.0010146875,-0.07202111756883733,0.006174226569946358,-0.07819534413878369,-253295.99830173727,3.087113284973179e-7
-0.0010144375,-0.07101493313493498,0.0065098187467265,-0.07752475188166148,-238177.91215967498,3.2549093733632496e-7
-0.0010141875,-0.06967335388973186,0.0068454109235066415,-0.07651876481323851,-223562.2248782134,3.4227054617533204e-7
-0.0010139374999999999,-0.06732559021062609,0.007516595277067078,-0.07484218548769317,-199138.52676366564,3.7582976385335386e-7
-0.0010136874999999998,-0.06665480058802438,0.007852187453846915,-0.0745069880418713,-189773.83940412465,3.926093726923457e-7
-0.0010134375,-0.06564861615412294,0.007516595277067078,-0.07316521143119002,-194676.46915729274,3.758297638533538e-7
-0.0010131875,-0.06464243172022013,0.007852187453847068,-0.0724946191740672,-184648.21325310948,3.9260937269235337e-7
-0.0010129375,-0.06296545766371625,0.008858963984187491,-0.07182442164790374,-162150.8378995655,4.429481992093746e-7
-0.0010126875,-0.06229466804111468,0.00852337180740735,-0.07081803984852203,-166173.7665532241,4.2616859037036746e-7
-0.0010124374999999999,-0.06061769398461077,0.00852337180740735,-0.06914106579201812,-162238.76502003623,4.2616859037036746e-7
-0.0010121874999999998,-0.05894071992810641,0.008858963984187338,-0.06779968391229374,-153064.58866592456,4.42948199209367e-7
-0.0010119375,-0.05793453549420498,0.008523371807407502,-0.06645790730161248,-155942.76256693434,4.261685903703751e-7
-0.0010116875,-0.05692835106030263,0.007852187453847373,-0.06478053851415001,-164999.9796742227,3.926093726923686e-7
-0.0010114375,-0.056257561437700616,0.007852187453847068,-0.06410974889154769,-163291.43762388921,3.926093726923533e-7
-0.0010111875,-0.05558677181509905,0.007181003100286783,-0.06276777491538583,-174816.1755086253,3.590501550143391e-7
-0.0010109375,-0.054915982192497485,0.007516595277066925,-0.06243257746956441,-166119.30047649558,3.758297638533463e-7
-0.0010106874999999999,-0.05323900813599282,0.007516595277067078,-0.0607556034130599,-161657.24287011602,3.7582976385335386e-7
